Opening,Opening.1,Title,Director,Cast,Studio,Year,Genres,Rating,Combined
FEB,21.0,shubh mangal zyada saavdhan,Hitesh Kewalya,Ayushmann KhurranaJitendra KumarGajraj RaoNeena GuptaManurishi ChaddhaSunita RajwarMaanvi GagrooPankhuri AwasthyNeeraj Singh,"Colour Yellow Productions, T-Series",2020,Comedy Romance,5.8,hitesh kewalya ayushmann khurrana jitendra kumar gajraj rao neena gupta manurishi chaddha sunita rajwar maanvi gagroo pankhuri awasthy neeraj singh comedy romance
FEB,21.0,yeh ballet,Sooni Taraporevala,Julian SandsAchintya BoseManish Chauhan,"Roy Kapur Films, Netflix",2020,Drama,7.6,sooni taraporevala julian sands achintya bose manish chauhan drama
FEB,28.0,doordarshan,Gagan Puri,Mahie GillManu Rishi ChaddhaDolly AhluwaliaSupriya ShuklaRajesh SharmaMehak ManwaniSumit Gulati,"Arya Films, UFO Moviez",2020,Comedy Drama,6.2,gagan puri mahie gill manu rishi chaddha dolly ahluwalia supriya shukla rajesh sharma mehak manwani sumit gulati comedy drama
FEB,28.0,guns of banaras,Sekhar Suri,Karan NathNathalia KaurAbhimanyu SinghGanesh VenkatramanShilpa ShirodkarZarina WahabMohan AgasheTej Sapru,"AJ Media Corp, Dashaka Cinema Co Production",2020,Action,7.0,sekhar suri karan nath nathalia kaur abhimanyu singh ganesh venkatraman shilpa shirodkar zarina wahab mohan agashe tej sapru action
FEB,28.0,haunted hills,Sanjeev Kumar Rajput,Zuber K. KhanDiana Khan,"RSBS Films, UFO Moviez",2020,Horror,7.5,sanjeev kumar rajput zuber k. khan diana khan horror
FEB,28.0,o pushpa i hate tears,Dinkar Kapoor,Krushna AbhishekKarthik JayaramArjumman Mughal,"Films@50, Wavelength Studios",2020,Comedy Thriller,,dinkar kapoor krushna abhishek karthik jayaram arjumman mughal comedy thriller
FEB,28.0,thappad,Anubhav Sinha,Taapsee PannuPavail GulatiMaya SaraoNaila Grewal,"Benaras Media Works, T-Series",2020,Drama,6.9,anubhav sinha taapsee pannu pavail gulati maya sarao naila grewal drama
MAR,2.0,dheet patangey,Ravi Adhikari,Shivin NarangChandan Roy SanyalAli MuradHardik SanghaniTillotama ShomePriya Banerjee,"Happi Digital,Hotstar",2020,Drama Romance Sport,7.1,ravi adhikari shivin narang chandan roy sanyal ali murad hardik sanghani tillotama shome priya banerjee drama romance sport
MAR,6.0,baaghi 3,Ahmed Khan,Tiger ShroffRiteish DeshmukhShraddha KapoorAnkita Lokhande,"Nadiadwala Grandson Entertainment, Fox Star Studios",2020,Action Thriller,2.1,ahmed khan tiger shroff riteish deshmukh shraddha kapoor ankita lokhande action thriller
MAR,6.0,guilty,Ruchi Narain,Kiara AdvaniAkansha Ranjan KapoorGurfateh Singh PirzadaTaher ShabbirDalip TahilKunal VijaykarManu RishiJanya JoshiChayan Chopra,"Dharmatic, Netflix",2020,Drama Thriller,5.4,ruchi narain kiara advani akansha ranjan kapoor gurfateh singh pirzada taher shabbir dalip tahil kunal vijaykar manu rishi janya joshi chayan chopra drama thriller
MAR,6.0,kaamyaab,Hardik Mehta,Sanjay MishraDeepak Dobriyal,"Red Chillies Entertainment, Drishyam Films",2020,Drama,,hardik mehta sanjay mishra deepak dobriyal drama
MAR,13.0,angrezi medium,Homi Adajania,Irrfan KhanKareena KapoorRadhika MadanDeepak DobriyalPankaj Tripathi,Maddock Films,2020,Comedy Drama,7.3,homi adajania irrfan khan kareena kapoor radhika madan deepak dobriyal pankaj tripathi comedy drama
MAR,27.0,maska,Neeraj Udhwani,Manisha KoiralaNikita DuttaJaved JaffreyPrit KamaniShirley Setia,"Mutant Films, Netflix",2020,Comedy Drama Romance,5.9,neeraj udhwani manisha koirala nikita dutta javed jaffrey prit kamani shirley setia comedy drama romance
APR,10.0,bamfaad,Ranjan Chandel,Aditya RawalShalini PandeyVijay Varma,"JAR Pictures, ZEE5",2020,Romance,7.3,ranjan chandel aditya rawal shalini pandey vijay varma romance
APR,21.0,ateet,Tanuj Bhramar,PriyamaniSanjay SuriRajeev Khandelwal,"Funtime Entertainment, Indian Film Studios, ZEE5",2020,Thriller,4.1,tanuj bhramar priyamani sanjay suri rajeev khandelwal thriller
MAY,1.0,mrs. serial killer,Shirish Kunder,Jacqueline FernandezManoj BajpayeeMohit RainaZayn Marie,"Three's Company Productions Pvt.Ltd, Netflix",2020,Crime Drama Thriller,4.9,shirish kunder jacqueline fernandez manoj bajpayee mohit raina zayn marie crime drama thriller
MAY,20.0,what are the odds,Megha Ramaswamy,Yashaswini DayamaKaranvir MalhotraAbhay Deol,"FilmKaravan, Netflix",2020,Short Comedy,,megha ramaswamy yashaswini dayama karanvir malhotra abhay deol short comedy
MAY,22.0,ghoomketu,Pushpendra Nath Misra,Nawazuddin SiddiquiRagini KhannaRicha ChadhaAnurag KashyapDeepika AminRaghuvir YadavIla ArunSwanand Kirkire,"Phantom Films, Sony Pictures, ZEE5",2020,Comedy,5.7,pushpendra nath misra nawazuddin siddiqui ragini khanna richa chadha anurag kashyap deepika amin raghuvir yadav ila arun swanand kirkire comedy
JUN,1.0,chippa,Safdar Rehman,Sunny PawarJoyraj BhattacharyaSumeet ThakurGautam SarkarMasood AkhtarKalpan Mitra,"Traveling Light Pictures, Ultra Media & Entertainment, Victory Media, Wishberry Films",2020, ,,safdar rehman sunny pawar joyraj bhattacharya sumeet thakur gautam sarkar masood akhtar kalpan mitra 
JUN,5.0,chintu ka birthday,Devanshu KumarSatyanshu Singh,Vinay PathakTillotama ShomeNate Scholz,"Final Draft, ZEE5",2020,Drama,7.9,devanshu kumar satyanshu singh vinay pathak tillotama shome nate scholz drama
JUN,5.0,choked,Anurag Kashyap,Saiyami KherRoshan MathewAmruta SubhashRajshri Deshpande,"JAR Pictures, Good Bad Films, Netflix",2020,Drama,5.8,anurag kashyap saiyami kher roshan mathew amruta subhash rajshri deshpande drama
JUN,12.0,axone,Nicholas Kharkongor,Dolly AhluwaliaSayani GuptaTenzin DalhaVinay PathakLin LaishramAsenla JamirLanuakum Ao,"Saregama India, Yoodlee films",2020, ,,nicholas kharkongor dolly ahluwalia sayani gupta tenzin dalha vinay pathak lin laishram asenla jamir lanuakum ao 
JUN,12.0,gulabo sitabo,Shoojit Sircar,Farrukh JaffarAmitabh BachchanAyushmann KhurranaVijay RaazBrijendra KalaNalneesh Neel,"Rising Sun Films, Kino Works, Prime Video",2020,Comedy Drama,6.4,shoojit sircar farrukh jaffar amitabh bachchan ayushmann khurrana vijay raaz brijendra kala nalneesh neel comedy drama
JUN,18.0,kadakh,Rajat Kapoor,Kalki KoechlinRanvir ShoreyShruti SethManoj PahwaTara SharmaCyrus SahukarMansi Multani,"Mithya Talkies, Sony LIV",2020, ,,rajat kapoor kalki koechlin ranvir shorey shruti seth manoj pahwa tara sharma cyrus sahukar mansi multani 
JUN,19.0,chaman bahaar,Apurva Dhar Badgaiyann,Jitendra KumarRitika Badiani,"Saregama India, Yoodlee films",2020,Comedy Drama,7.0,apurva dhar badgaiyann jitendra kumar ritika badiani comedy drama
JUN,24.0,bulbbul,Anvita Dutt,Tripti DimriAvinash TiwaryRahul BoseParambrata ChatterjeePaoli Dam,"Clean Slate Films, Netflix",2020,Drama Horror Mystery,6.6,anvita dutt tripti dimri avinash tiwary rahul bose parambrata chatterjee paoli dam drama horror mystery
JUN,26.0,bhonsle,Devashish Makhija,Manoj BajpayeeSantosh JuvekarIpshita Chakraborty SinghAbhishek Banerjee,"Muvizz, Sony LIV",2020,Sport,,devashish makhija manoj bajpayee santosh juvekar ipshita chakraborty singh abhishek banerjee sport
JUN,27.0,unlock,Debatma Mandal,Kushal TandonHina KhanRishabh SinhaAditi Arya,"Krasnaya Corporation, Wind Horse Films, ZEE5",2020,Drama,3.7,debatma mandal kushal tandon hina khan rishabh sinha aditi arya drama
JUL,16.0,virgin bhanupriya,Ajay Lohan,Urvashi RautelaGautam Gulati,"Dhariwal Films, ZEE5",2020,Comedy Drama,5.5,ajay lohan urvashi rautela gautam gulati comedy drama
JUL,24.0,dil bechara,Mukesh Chhabra,Sushant Singh RajputSanjana SanghiSaif Ali Khan,"Fox Star Studios, Disney+ Hotstar",2020,Comedy Drama Romance,7.9,mukesh chhabra sushant singh rajput sanjana sanghi saif ali khan comedy drama romance
JUL,30.0,yaara,Tigmanshu Dhulia,Vidyut JammwalShruti HaasanAmit SadhVijay VarmaKenny Basumatary,"Tigmanshu Dhulia Films, Azure Entertainment, ZEE5",2020,Action Crime Drama,6.3,tigmanshu dhulia vidyut jammwal shruti haasan amit sadh vijay varma kenny basumatary action crime drama
JUL,31.0,shakuntala devi,Anu Menon,Vidya BalanJisshu SenguptaSanya MalhotraAmit Sadh,"Abundantia Entertainment, Sony Pictures Networks India, A Genius Films Production, Prime Video",2020,Drama,6.1,anu menon vidya balan jisshu sengupta sanya malhotra amit sadh drama
JUL,31.0,lootcase,Rajesh Krishnan,Kunal KhemuRasika DugalVijay RaazRanvir ShoreyGajraj RaoAryan PrajapatiShashi RanjanSumit Nijhawan,"Fox Star Studios, Soda Films, Disney+ Hotstar",2020,Comedy Crime,7.7,rajesh krishnan kunal khemu rasika dugal vijay raaz ranvir shorey gajraj rao aryan prajapati shashi ranjan sumit nijhawan comedy crime
JUL,31.0,raat akeli hai,Honey Trehan,Nawazuddin SiddiquiRadhika ApteShweta TripathiIla ArunShivani RaghuvanshiAditya SrivastavaTigmanshu DhuliaSwanand Kirkire,"RSVP Movies, Netflix",2020,Crime Drama Mystery Thriller,7.3,honey trehan nawazuddin siddiqui radhika apte shweta tripathi ila arun shivani raghuvanshi aditya srivastava tigmanshu dhulia swanand kirkire crime drama mystery thriller
AUG,6.0,pareeksha,Prakash Jha,Adil HussainPriyanka BoseSanjay Suri,"Prakash Jha Productions, ZEE5",2020,Drama,8.1,prakash jha adil hussain priyanka bose sanjay suri drama
AUG,12.0,gunjan saxena: the kargil girl,Sharan Sharma,Janhvi KapoorPankaj TripathiAngad BediVineet Kumar SinghManav Vij,"Dharma Productions, Zee Studios, Netflix",2020,Action Biography Drama War,5.2,sharan sharma janhvi kapoor pankaj tripathi angad bedi vineet kumar singh manav vij action biography drama war
AUG,14.0,khuda haafiz,Faruk Kabir,Vidyut JammwalShivaleeka OberoiAnnu KapoorShiv PandittAahana Kumra,"Panorama Studios, Disney+ Hotstar",2020,Action Drama Thriller,7.2,faruk kabir vidyut jammwal shivaleeka oberoi annu kapoor shiv panditt aahana kumra action drama thriller
AUG,21.0,mee raqsam,Baba Azmi,Naseeruddin ShahDanish HusainAditi SubediShradha KaulRakesh Chaturvedi,"AZMI Pictures, ZEE5",2020,Drama,6.7,baba azmi naseeruddin shah danish husain aditi subedi shradha kaul rakesh chaturvedi drama
AUG,21.0,class of '83,Atul Sabharwal,Bobby DeolBhupendra JadawatHitesh BhojrajAnup SoniJoy SenguptaSameer ParanjapeNinad MahajaniPrithvik Pratap,"Red Chillies Entertainment, Netflix",2020,Action Crime Drama Thriller,5.9,atul sabharwal bobby deol bhupendra jadawat hitesh bhojraj anup soni joy sengupta sameer paranjape ninad mahajani prithvik pratap action crime drama thriller
AUG,28.0,sadak 2,Mahesh Bhatt,Sanjay DuttPooja BhattAlia BhattAditya Roy Kapur,"Vishesh Films, Fox Star Studios, Disney+ Hotstar",2020,Action Drama,1.1,mahesh bhatt sanjay dutt pooja bhatt alia bhatt aditya roy kapur action drama
AUG,28.0,ram singh charlie,Nitin Kakkar,Kumud MishraDivya DuttaAkarsh KhuranaFarrukh SeyerSalima RazaRohit Rokhade,"Little Too Much Productions, Sony Liv",2020,Drama,8.0,nitin kakkar kumud mishra divya dutta akarsh khurana farrukh seyer salima raza rohit rokhade drama
SEP,5.0,atkan chatkan,Shiv Hare,Sachin ChaudharyYash RaneTamanna Dipak,"Lokaa Entertainment, ZEE5",2020,Drama Musical,8.2,shiv hare sachin chaudhary yash rane tamanna dipak drama musical
SEP,9.0,cargo,Arati Kadav,Vikrant MasseyShweta Tripathi,"Fundamental Pictures, Electric Films, Netflix",2020,Comedy,,arati kadav vikrant massey shweta tripathi comedy
SEP,11.0,tiki taka,Parambrata Chatterjee,Emona EnabuluParambrata ChattopadhyayRitabhari ChakrabortySaswata Chatterjee,"Ratanshree Nirman, Ten Films, Roadshow Films, ZEE5",2020,Comedy Sport,7.8,parambrata chatterjee emona enabulu parambrata chattopadhyay ritabhari chakraborty saswata chatterjee comedy sport
SEP,18.0,dolly kitty aur woh chamakte sitare,Alankrita Shrivastava,Konkona Sen SharmaBhumi PednekarAmol ParasharAamir BashirKubbra SaitKaran KundraVikrant MasseyMushtaq Khan,"Balaji Motion Pictures, ALT Entertainment, Netflix",2020, ,,alankrita shrivastava konkona sen sharma bhumi pednekar amol parashar aamir bashir kubbra sait karan kundra vikrant massey mushtaq khan 
SEP,18.0,london confidential,Kanwal Sethi,Mouni RoyPurab KohliKulraj RandhawaSagar AryaParvesh RanaJas BinagDiljohn SinghKiren Jog,"JAR Pictures, ZEE5",2020,Crime Drama Thriller,6.6,kanwal sethi mouni roy purab kohli kulraj randhawa sagar arya parvesh rana jas binag diljohn singh kiren jog crime drama thriller
SEP,21.0,halahal,Randeep Jha,Sachin KhedekarBarun Sobti,"Eros International, Eros Now",2020,Crime Mystery Thriller,7.2,randeep jha sachin khedekar barun sobti crime mystery thriller
OCT,2.0,khaali peeli,Maqbool Khan,Ishaan KhatterAnanya PandayJaideep Ahlawat,"Zee Studios, Offside Entertainment, Zee Plex, ZEE5",2020,Action Comedy Romance,2.0,maqbool khan ishaan khatter ananya panday jaideep ahlawat action comedy romance
OCT,2.0,serious men,Sudhir Mishra,Nawazuddin SiddiquiAakshath DasShweta Basu PrasadNassarIndira Tiwari,"Bombay Fables, Cineraas Entertainment, Netflix",2020,Comedy Drama,6.9,sudhir mishra nawazuddin siddiqui aakshath das shweta basu prasad nassar indira tiwari comedy drama
OCT,2.0,bahut hua samman,Ashish R Shukla,Raghav JuyalAbhishek ChauhanSanjay MishraRam KapoorNidhi SinghNamit DasFlora Saini,"Yoodlee films, Disney+ Hotstar",2020,Drama,7.3,ashish r shukla raghav juyal abhishek chauhan sanjay mishra ram kapoor nidhi singh namit das flora saini drama
OCT,9.0,ginny weds sunny,Puneet Khanna,Yami GautamVikrant Massey,"Soundrya Production, Netflix",2020,Comedy Romance,5.6,puneet khanna yami gautam vikrant massey comedy romance
OCT,21.0,comedy couple,Nachiket Samant,Saqib SaleemShweta Basu Prasad,"Yoodlee films, ZEE5",2020,Comedy Romance,8.5,nachiket samant saqib saleem shweta basu prasad comedy romance
OCT,29.0,taish,Bejoy Nambiar,Pulkit SamratKriti KharbandaJim SarbhHarshvardhan RaneAnkur RatheeZoa MoraniSanjeeda SheikhNeha SharmaAditya PancholiAmrita Puri,"Ease My Trip, Getaway Pictures Presentation, A Crayon Films Production, ZEE5",2020,Thriller,,bejoy nambiar pulkit samrat kriti kharbanda jim sarbh harshvardhan rane ankur rathee zoa morani sanjeeda sheikh neha sharma aditya pancholi amrita puri thriller
OCT,30.0,kaali khuhi,Terrie Samundra,Shabana AzmiSatyadeep MishraRiva AroraSanjeeda Sheikh,Netflix,2020,Drama Horror Mystery,,terrie samundra shabana azmi satyadeep mishra riva arora sanjeeda sheikh drama horror mystery
NOV,9.0,laxmmi bomb,Raghava Lawrence,Akshay KumarKiara Advani,"Cape of Good Films, Fox Star Studios, Shabinaa Entertainment, Tushar Entertainment House, Disney+ Hotstar",2020,Comedy Horror,,raghava lawrence akshay kumar kiara advani comedy horror
NOV,12.0,ludo,Anurag Basu,Abhishek BachchanRajkummar RaoAditya Roy KapurFatima Sana ShaikhSanya MalhotraPankaj TripathiRohit Suresh SarafPearle MaaneyAsha NegiInayat VermaShalini Vats,"T-Series, Anurag Basu Productions, Netflix",2020,Action Comedy Drama,,anurag basu abhishek bachchan rajkummar rao aditya roy kapur fatima sana shaikh sanya malhotra pankaj tripathi rohit suresh saraf pearle maaney asha negi inayat verma shalini vats action comedy drama
NOV,13.0,chhalaang,Hansal Mehta,Rajkummar RaoNushrat Bharucha,"T-Series, Luv Films, Ajay Devgn FFilms, Amazon Prime Video",2020,Comedy Drama Sport,,hansal mehta rajkummar rao nushrat bharucha comedy drama sport
NOV,13.0,suraj pe mangal bhari,Abhishek Sharma,Manoj BajpayeeDiljit DosanjhFatima Sana Shaikh,"Zee Studios, Essel Vision Productions",2020,Comedy,,abhishek sharma manoj bajpayee diljit dosanjh fatima sana shaikh comedy
DEC,11.0,durgavati,G. Ashok,Bhumi PednekarArshad Warsi,"Abundantia Entertainment, T-Series, Cape of Good Films, Amazon Prime Video",2020,Horror Thriller,,g. ashok bhumi pednekar arshad warsi horror thriller
DEC,25.0,coolie no. 1,David Dhawan,Varun DhawanSara Ali Khan,"Pooja Entertainment, Amazon Prime Video",2020,Comedy,,david dhawan varun dhawan sara ali khan comedy
